,09130,93000,94000,94200,94300,94500,94600,94650,94700,94800,94850,94900,94950,95000,95300,95400,95500,95600,95700,95800,95900,96000,96100,96150,96200,96250,96300,96400,96500,96600,96700,96800,96850,96900,97000,97100,97200,98000,98050,98100,98150,98200,98300,98700,98800
09130,0,30675,31979,29448,29069,36103,27302,16686,28048,27104,23912,24769,17480,21788,14726,15378,17073,17590,17937,19884,21028,9262,11971,12841,inf,inf,5198,2991,11171,9956,9883,16210,13948,17296,5494,7481,5005,15292,21942,15621,12608,11359,17332,25373,40038
93000,30675,0,2853,2549,1952,6528,3559,18306,4095,6214,7121,14585,13212,11604,16347,15989,14784,15857,15125,12710,15213,22017,18964,26347,inf,inf,32563,30356,19836,21171,22673,28652,26389,47785,35984,37971,32406,45782,52432,46110,43098,41849,47821,55863,70528
94000,31979,2853,0,2996,3412,4407,5019,19766,4542,7674,8580,15032,14672,12050,17807,17449,16243,16409,15572,13157,15660,23477,20424,27807,inf,inf,34023,31816,21296,22631,24133,30112,27849,49245,37444,39430,33866,47242,53891,47570,44558,43308,49281,57322,71987
94200,29448,2549,2996,0,1495,7278,3101,17849,1706,5756,6663,12196,12754,9215,15889,15532,14181,13573,12736,10321,12824,21360,18507,25691,inf,inf,31906,29699,19379,20319,21821,27800,25537,47129,35327,37314,31750,45125,51775,45454,42441,41192,47165,55206,69871
94300,29069,1952,3412,1495,0,7412,1971,16718,2912,4626,5533,13401,11624,10420,14759,14401,13196,14269,13942,11527,14030,20429,17376,24759,inf,inf,30975,28768,18248,19583,21085,27064,24801,46197,34396,36383,30818,44194,50844,44522,41510,40260,46233,54275,68940
94500,36103,6528,4407,7278,7412,0,9055,23803,8737,11711,12617,19227,18708,16246,21844,21486,20280,20605,19767,17352,19856,27514,24461,31844,inf,inf,38060,35852,25333,26668,28170,34149,31886,53282,41481,43467,37903,51278,57928,51607,48595,47345,53318,61359,76024
94600,27302,3559,5019,3101,1971,9055,0,14966,4033,2874,3780,14130,9871,11149,13006,12649,11443,12516,13031,12255,14759,18677,15624,23007,inf,inf,29223,27015,16496,17831,19333,25311,23049,44445,32644,34630,29066,42441,49091,42770,39757,38508,44481,52522,67187
94650,16686,18306,19766,17849,16718,23803,14966,0,16514,14846,11654,13235,5223,10254,1909,3120,4815,5888,6403,8351,9495,8134,5081,12465,inf,inf,18680,16473,5954,7289,8790,14769,12507,33903,22101,24088,18524,31899,38549,32228,29215,27966,33938,41980,56645
94700,28048,4095,4542,1706,2912,8737,4033,16514,0,2881,7680,10567,13506,7586,14665,14308,12553,11945,11107,8692,11196,19732,17283,24062,inf,inf,30278,28071,18155,18691,20193,26171,23909,45500,33699,35685,30121,43497,50146,43825,40813,39563,45536,53577,68243
94800,27104,6214,7674,5756,4626,11711,2874,14846,2881,0,3637,11477,9728,8496,12863,12506,11300,12373,12017,9602,12105,18533,15481,22864,inf,inf,29080,26872,16353,17688,19189,25168,22906,44302,32500,34487,28923,42298,48948,42627,39614,38365,44338,52379,67044
94850,23912,7121,8580,6663,5533,12617,3780,11654,7680,3637,0,14900,6538,11919,9673,9315,8110,9183,9697,11645,12789,15343,12290,19673,inf,inf,25889,23682,13162,14497,15999,21978,19715,41111,29310,31297,25732,39108,45757,39436,36424,35174,41147,49188,63854
94900,24769,14585,15032,12196,13401,19227,14130,13235,10567,11477,14900,0,10268,3064,11427,11069,9314,8707,7869,5454,7957,16494,14044,20824,inf,inf,27040,24832,14917,15453,16954,22933,20671,42262,30461,32447,26883,40258,46908,40587,37575,36325,42298,50339,65004
