,02700,06200,10000,11000,11100,11200,11300,11500,11600,11700,11800,11900,11960,12000,13100,13300,13500,13600,14000,14200,14300,14400
02700,0,3175,2158,3166,3599,3005,3278,2374,1891,1800,1883,2187,1751,1486,2441,2460,1507,1467,1435,912,1485,1860
06200,3175,0,3130,4138,4571,3977,4250,3346,2863,2772,2855,3309,3053,2348,1894,2170,1956,2359,2588,3543,3538,2345
10000,2158,3130,0,2251,1856,1263,1851,1166,718,891,976,1422,1167,1523,2490,2509,1556,1500,1840,2641,2635,1898
11000,3166,4138,2251,0,2398,2648,2921,1385,1682,1591,1404,1057,1566,2377,3344,3363,2410,2354,2694,3325,3342,2752
11100,3599,4571,1856,2398,0,677,2398,2041,2019,2052,2376,2846,2591,2947,3914,3933,2980,2924,3264,4065,4059,3321
11200,3005,3977,1263,2648,677,0,1860,1503,1481,1514,1838,2308,2052,2408,3376,3395,2441,2385,2726,3527,3521,2783
11300,3278,4250,1851,2921,2398,1860,0,1803,1782,1814,2138,2609,2353,2709,3677,3696,2742,2686,3027,3827,3822,3084
11500,2374,3346,1166,1385,2041,1503,1803,0,757,790,1113,1472,1328,1684,2652,2671,1717,1661,2002,2802,2797,2059
11600,1891,2863,718,1682,2019,1481,1782,757,0,284,608,1110,854,1277,2244,2263,1310,1254,1594,2395,2389,1652
11700,1800,2772,891,1591,2052,1514,1814,790,284,0,420,1181,925,1088,2055,2075,1121,1065,1405,2206,2201,1463
11800,1883,2855,976,1404,2376,1838,2138,1113,608,420,0,1085,1013,1190,2157,2176,1223,1167,1507,2308,2302,1564
11900,2187,3309,1422,1057,2846,2308,2609,1472,1110,1181,1085,0,558,1833,2801,2820,1866,1810,2151,2317,2334,2208
11960,1751,3053,1167,1566,2591,2052,2353,1328,854,925,1013,558,0,1457,2424,2443,1490,1434,1774,1941,1958,1832
12000,1486,2348,1523,2377,2947,2408,2709,1684,1277,1088,1190,1833,1457,0,1096,1560,735,512,1005,2010,2004,1087
13100,2441,1894,2490,3344,3914,3376,3677,2652,2244,2055,2157,2801,2424,1096,0,1540,1288,1505,1999,2875,2870,1644
13300,2460,2170,2509,3363,3933,3395,3696,2671,2263,2075,2176,2820,2443,1560,1540,0,1283,1686,1360,2870,2865,915
13500,1507,1956,1556,2410,2980,2441,2742,1717,1310,1121,1223,1866,1490,735,1288,1283,0,699,1012,1883,1878,508
13600,1467,2359,1500,2354,2924,2385,2686,1661,1254,1065,1167,1810,1434,512,1505,1686,699,0,860,1865,1859,932
14000,1435,2588,1840,2694,3264,2726,3027,2002,1594,1405,1507,2151,1774,1005,1999,1360,1012,860,0,2031,2025,550
14200,912,3543,2641,3325,4065,3527,3827,2802,2395,2206,2308,2317,1941,2010,2875,2870,1883,1865,2031,0,733,2252
14300,1485,3538,2635,3342,4059,3521,3822,2797,2389,2201,2302,2334,1958,2004,2870,2865,1878,1859,2025,733,0,2296
14400,1860,2345,1898,2752,3321,2783,3084,2059,1652,1463,1564,2208,1832,1087,1644,915,508,932,550,2252,2296,0
