ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2
Johor|80000|1.456123|103.761701|84900|2.276266|102.545695
Johor|80000|1.456123|103.761701|85000|2.510854|102.815861
Johor|80000|1.456123|103.761701|85100|2.576392|102.708061
Johor|80000|1.456123|103.761701|85200|2.43989|102.68478
Johor|80000|1.456123|103.761701|85300|2.381831|103.020378
Johor|80000|1.456123|103.761701|85400|2.24841|103.041481
Johor|80000|1.456123|103.761701|86000|2.033562|103.317863
Johor|80000|1.456123|103.761701|86100|1.95696949213521|103.206130366391
Johor|80000|1.456123|103.761701|86200|1.826888|103.310781
Johor|80000|1.456123|103.761701|86300|1.88443263|103.40286959
Johor|80000|1.456123|103.761701|86400|1.865015|103.110069
Johor|80000|1.456123|103.761701|86500|2.29360198|103.12991681
Johor|80000|1.456123|103.761701|86600|2.186827|103.195048
Johor|80000|1.456123|103.761701|86700|2.35178611|103.67363889
Johor|80000|1.456123|103.761701|86800|2.431857|103.837858
Johor|80000|1.456123|103.761701|86900|2.649929|103.620892
Johor|81000|1.662964|103.600178|81300|1.4971995|103.711685
Johor|81000|1.662964|103.600178|81400|1.606506|103.647617
Johor|81000|1.662964|103.600178|81440|1.876001|103.614046
Johor|81000|1.662964|103.600178|81450|1.75050278|103.672815
Johor|81000|1.662964|103.600178|81500|1.507615|103.509637
Johor|81000|1.662964|103.600178|81550|1.448457|103.590638
Johor|81000|1.662964|103.600178|81600|1.363912|104.11134
Johor|81000|1.662964|103.600178|81700|1.46775781|103.90378662
Johor|81000|1.662964|103.600178|81750|1.487056|103.882415
Johor|81000|1.662964|103.600178|81800|1.58564722|103.817683
Johor|81000|1.662964|103.600178|81850|1.817035|103.47473
Johor|81000|1.662964|103.600178|81900|1.734735|103.899799
Johor|81000|1.662964|103.600178|81920|1.676373|104.020516
Johor|81000|1.662964|103.600178|81930|1.555441|104.230902
Johor|81000|1.662964|103.600178|82000|1.487191|103.388025
Johor|81000|1.662964|103.600178|82100|1.59693611|103.331408
